105|100g|5 000169 545072|680|162|5.2|22.4|3.8|5.7|0.7|0|0.16
106|100g|5 00169 768228|121|29|1.1|5.6|5.2|0.2|0|2.2|0
107|100g|5 050179 244151|1626|394|1|12.4|12.2|37.8|5.2|0.2|0.7
108|15g serving|5 050179 244151|244|59|0.2|1.9|1.8|5.7|0.8|0|0.1
109|half pack|5 000169 906774|1192|288|7.4|11.8|2.4|23.4|5|3|0.54
110|100g|5 000169 906774|596|144|3.7|5.9|1.2|11.7|2.5|1.5|0.27
111|half pac|5 000169 025130|1192|288|7.4|11.8|2.4|23.4|5|3|0.54
112|100g|5 000169 025130|597|144|3.6|6.9|3.8|11.3|2.3|1.4|0.21
113| 0.5 pack|5 000169 906781|1105|266|6.7|12.8|7|20.9|4.3|2.6|0.38
114|100g|5 000169 906781|377|90|3|13.3|3.4|2.7|0.4|1.6|0.14
115|0.25 pack|5 000169 589618|38|9|0.5|1.3|1.3|0.2|0.1|0.8|0
116|100g|5 000169 589618|76|18|1|2.6|2.5|0.4|0.1|1.5|0
117|0.25 pack|5 000169 545164|47|11|0.5|1.9|1.8|0.2|0|0.7|0
118|100g|5 000169 545164|95|22|0.9|3.8|3.6|0.4|0|1.5|0
119|0.5 pack|5 000169 026205|1155|279|7.2|7.4|4.2|24.5|2|2.7|0.26
120|100g|5 000169 026205|768|186|4.8|4.9|2.8|16.3|1.3|1.8|0.17
121|100g|1002 1330|100|24|1|4.2|4|0.3|0.1|2|0
122|0.5 pack|5 000169 025130|1105|266|6.7|12.8|7|20.9|4.3|2.6|0.38
123|100g|5 000169 025130|597|144|3.6|6.9|3.8|11.3|2.3|1.4|0.21
124|0.5 pack|5 000169 025123|665|158|5.1|25.1|4.1|4.1|0.4|1.3|0.27
125|100g|5 000169 025123|534|127|4.1|20.1|3.3|3.3|0.3|1|0.22
126|0.5 pack|5 000169 353677|275|65|2.5|5|3.8|3.8|2.5|0.9|0.2
127|100g|5 000169 353677|220|52|2.1|3.9|3.3|3.2|1.8|0.7|0.19
128|57.5g|1004 7200|32|8|0.4|1.1|1|0.2|0|0.8|0
129|100g|1004 7200|56|13|0.7|1.9|1.8|0.3|0|1.3|0
130|100g|0539 364|245|60|0.9|3.1|2.9|4.8|1|0.9|0.12
131|100g|0539 364|275|70|1|3.5|3.3|5.4|1.1|1|0.14
132|100g|1002 2405|76|18|0.7|3.1|3.1|0.3|0.1|1|0
133|100g|1004 6326|76|18|0.8|3|2.9|0.3|0|1.7|0.2
